"Calculate Shipping","Costes de envio"
"Cart Totals","Total Cesta"
"Return to Previous Page","Volver"
"State / Province","Provincia"
"Place Order Now","Pedir"
"Name & Address","Dirección de <u>facturación</u>"
"New Shipping Address","Dirección de <u>envío</u>"
"Review Your Order","Revisa su pedido"
"View Cart","Ver Cesta"
"Telephone GB","Teléfono movil"
"Email Address GB","Correo electronico"
"Telephone GBD","Teléfono movil (Entrega)"
"Email Address GBD","Correo electronico (Entrega)"
"Postcode / Zip","Codigo postal"
"Street address","Vuestra dirección"
"Apartment, suite, unit etc. (optoinal)","Escalera, piso (facultativo)"
"Select One","Elige"
"Email","Email"
"Telephone","Telefono"
"Cart","Cesta"
"Checkout","Pedido"
"Create an account for later use","Creer una cuenta"
"Have a coupon?","¿Tiene un código promocional?"
"Click here to enter your code","Entrelo Aquí"
"Click here to login","Pulse aquí para entrar"
" item(s)"," artículo(s)"
"Add a review", "Añadir una opinión"
"My Account", "Mi Cuenta"
"Pago con tarjeta - Redsys","Pago seguro con tarjeta bancaria"
"Magento Commerce","Pedido"
"Blog Categories", "Categorías"
"Read More", "Leer más"
"Tag Cloud", "Palabras claves"
"Showing %s results","%s resultados"
"Showing %s-%s of %s results","%s-%s de %s resultados"
"Show:", "Mostra :"
"Post Comments","Comentarios"
"Lastest Posts","Últimos artículos"
"Sub Categories","Categorías"
"SPECIFYCONTACTS","Es muy importante especificar <b>el teléfono MÓVIL y el e-mail</b> del destinatario para facilitar la entrega."
"POINTRELAITEXT","<b>España + Francia</b> : se realizará un intento de entrega y en caso de ausencia del cliente se depositará el paquete en el Point Relais ® más cercano avisando al destinatario por e-mail y  por sms."
"ENTERADDRESS","Por favor entra la dirección completa para ver todos los métodos de envío! Gastos de envío calculados según destino y peso de la caja (3 kgs).<BR/>En diciembre, los envíos pueden alargarse unos días más. "
"EXPRESSSHIPPINGTEXT","ENVÍO RÁPIDO A DOMICILIO (2-4 días laborables)"
"Prioritymsg","¿Necesitas ayuda o un cheque-regalo personalizable para un regalo de última hora? Escribe a <a href='mailto:info@lagourmetbox.com'>info@lagourmetbox.com</a>. Anaïs & Benjamin."
"Logout","Desconectarse"
"Account Dashboard","Panel de control"
"Search entire store here...","Buscar"
"Track Your Order","Seguimiento del pedido"
"From The Blog","BLOG"
"View More Posts","LEER MÁS NOTICIAS"
"One time payment", "Pago de una vez"
"Save","Ahorra"
"shipping fees","coste de envío"
"month","mes"
"Track Your Order","Seguimiento de entrega"
"If there is an account associated with %s you will receive an email with a link to reset your password.","Si hay una cuenta asociada con %s recibirás un correo electrónico con un enlace para reiniciar tu contraseña."
"Your profile has been updated!","Se guardó la información de la cuenta"
"Your password has been updated.","Se ha actualizado su contraseña."
"SKU","Referencia"
"Out of stock","Caja Agotada"
"months","meses"
"CONCEPT","CONCEPTO"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde el «panel de control de mi cuenta» puede ver una instantánea de la actividad reciente en su cuenta y actualizar la información de su cuenta. Elija uno de los siguientes enlaces para ver o cambiar la información.<br/><br/>Para cambiar la dirección de entrega, gracias por escribirnos a info@lagourmetbox.com"
