"Pago con tarjeta - Redsys","Secure credit card payment"
"Magento Commerce","Your order"
"Blog Categories", "Categories"
"Sub Categories","Categories"
"SPECIFYCONTACTS","Provide the <b>email adress and MOBILE phone number</b> of the <u>recipient</u> as it is essential to ensure the delivery."
"POINTRELAITEXT","<b>Spain - France</b> : if the recipient cannot be located on the 1st attempt, the parcel will be taken to the nearest Point Relais ® and the recipient will be notified by email and text message."
"ENTERADDRESS","Please enter the complete address to show all delivery options! Shipping costs are indexed according to destination country and box weight (3 kgs).<BR/>In December, the delivery deadlines could be extended of some days."
"EXPRESSSHIPPINGTEXT","RAPID HOME DELIVERY (2-4 business days)"
"Prioritymsg","Need help or a personalised gift certificate for a last-minute gift idea? <a href='mailto:info@lagourmetbox.com'>info@lagourmetbox.com</a>. Anaïs & Benjamin."
"Credit card payment with hipay","Credit card / debit card payment "	
"Telephone GB","Mobile phone"
"Email Address GB","Email"
"Telephone GBD","Mobile phone (Delivery)"
"Email Address GBD","Email (Delivery)"
"Email","Email"
"Telephone","Telephone"
"Name & Address","<u>Invoicing</u> address"
"New Shipping Address","<u>Delivery</u> address"
"shipping fees","shipping cost"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.<br/><br/>To make change in your shipping address, please write us at info@lagourmetbox.com"
